Month;Type;North;Center;Lisbon;Alentejo;Algarve;Açores;Madeira
2022 Dec;Hotels;545567;295637;863143;76128;214822;69821;356257
2022 Dec;Local accommodation;122619;75463;233442;22252;38210;13165;51123
2022 Dec;Tourism in rural and residential areas;37347;33366;1687;26715;7083;4178;14436
2022 Nov;Hotels;548382;313443;1017102;83386;313166;87952;404261
2022 Nov;Local accommodation;125802;77607;274339;28524;51102;17381;52172
2022 Nov;Tourism in rural and residential areas;30395;26777;3413;27529;8600;4583;16134
2022 Oct;Hotels;824274;466738;1299844;123741;821079;165716;501140
2022 Oct;Local accommodation;194421;114085;353495;41360;123254;30900;62442
2022 Oct;Tourism in rural and residential areas;60219;41195;5717;52306;26942;10158;19478
2022 Sep;Hotels;889769;521255;1355438;138601;984455;200173;532728
2022 Sep;Local accommodation;205520;135425;362545;53716;177527;43324;66852
2022 Sep;Tourism in rural and residential areas;89028;50617;6879;73069;39758;16067;20293
2022 Aug;Hotels;1101850;743192;1503627;175693;1249432;240631;628019
2022 Aug;Local accommodation;280284;219629;406647;80226;265523;52755;79021
2022 Aug;Tourism in rural and residential areas;169993;101743;9439;126161;59467;22257;23780
2022 Jul;Hotels;927116;562031;1404196;138083;1148726;225218;588017
2022 Jul;Local accommodation;232529;169285;389483;61382;231638;44999;75549
2022 Jul;Tourism in rural and residential areas;116137;71481;8567;87481;43815;19811;22608
2022 Jun;Hotels;793529;450900;1257179;125467;952189;198981;530623
2022 Jun;Local accommodation;188033;121418;350508;50282;172863;34257;68037
2022 Jun;Tourism in rural and residential areas;79737;49321;6531;67139;34106;13798;19368
2022 May;Hotels;785962;411096;1238064;115529;829445;163489;501634
2022 May;Local accommodation;177338;112694;341416;41616;130279;27773;67558
2022 May;Tourism in rural and residential areas;61865;37959;4877;52236;24708;10685;20409
2022 Apr;Hotels;733353;411748;1164660;111796;697119;131184;459414
2022 Apr;Local accommodation;170073;109569;304465;38935;102676;23071;62478
2022 Apr;Tourism in rural and residential areas;61615;43206;4757;50224;21742;7750;19231
2022 Mar;Hotels;492276;265779;856186;83868;383721;101020;355382
2022 Mar;Local accommodation;114410;76584;259664;28592;52858;13337;46568
2022 Mar;Tourism in rural and residential areas;27310;25629;2472;26706;11214;2928;15015
2022 Feb;Hotels;390339;226733;589749;70249;221394;60871;238453
2022 Feb;Local accommodation;87029;60471;191236;24378;37941;9747;32542
2022 Feb;Tourism in rural and residential areas;26678;25589;2226;23083;6042;2259;10782
2022 Jan;Hotels;252164;166731;372683;46958;113058;39721;200512
2022 Jan;Local accommodation;59653;51116;126968;18399;24096;7689;28739
2022 Jan;Tourism in rural and residential areas;18484;19630;1170;14075;2660;2345;9252
2021 Dec;Hotels;370194;210635;548949;58307;137087;51808;244301
2021 Dec;Local accommodation;82135;59259;164948;19294;30689;8288;34564
2021 Dec;Tourism in rural and residential areas;29232;30266;1383;19780;5705;1700;10065
2021 Nov;Hotels;469370;269444;813564;79282;276017;82524;332784
2021 Nov;Local accommodation;100413;68998;222336;25739;45223;11850;36502
2021 Nov;Tourism in rural and residential areas;29736;23882;2390;26235;9795;2786;13965
2021 Oct;Hotels;656420;402018;960976;111596;705165;138524;414176
2021 Oct;Local accommodation;136880;101410;256903;37290;99732;20419;49552
2021 Oct;Tourism in rural and residential areas;58277;37773;4982;49995;23782;7437;16323
2021 Sep;Hotels;588601;397721;736426;120994;798155;164266;455810
2021 Sep;Local accommodation;136139;107708;229395;48519;138703;31257;51867
2021 Sep;Tourism in rural and residential areas;75494;46821;5318;64238;30399;10549;17100
2021 Aug;Hotels;743441;588663;791672;163050;1091344;198653;536750
2021 Aug;Local accommodation;186631;167876;242168;67272;220435;40541;59737
2021 Aug;Tourism in rural and residential areas;148464;92536;8399;114719;43892;17154;19771
2021 Jul;Hotels;452953;349005;428998;111579;620838;142244;385352
2021 Jul;Local accommodation;120033;104594;149785;49609;127660;32702;45714
2021 Jul;Tourism in rural and residential areas;91024;53307;4979;80046;26916;11463;14771
2021 Jun;Hotels;354922;287023;365065;94734;545540;94596;228632
2021 Jun;Local accommodation;85723;78006;125689;38445;86851;21572;29943
2021 Jun;Tourism in rural and residential areas;61317;39613;3697;56295;20004;5021;10055
2021 May;Hotels;285028;208526;265021;70107;246494;52821;123763
2021 May;Local accommodation;56551;55651;92360;28314;34711;12157;19602
2021 May;Tourism in rural and residential areas;35137;25439;1172;38341;12259;4338;7591
2021 Apr;Hotels;128940;90852;139065;31936;47616;37107;59510
2021 Apr;Local accommodation;30845;33506;59381;19005;11667;8966;13064
2021 Apr;Tourism in rural and residential areas;14341;12732;878;19882;4672;2420;6440
2021 Mar;Hotels;88601;55110;87226;23351;17739;26707;33821
2021 Mar;Local accommodation;22031;25661;49177;15261;9349;6013;9991
2021 Mar;Tourism in rural and residential areas;7594;5310;533;9295;2281;1519;5365
2021 Feb;Hotels;69722;40585;64994;16921;11291;15465;21732
2021 Feb;Local accommodation;19685;20298;42798;11022;7624;4174;7747
2021 Feb;Tourism in rural and residential areas;4667;3389;123;4777;1385;538;3075
2021 Jan;Hotels;101823;61062;107311;22596;26912;14922;55797
2021 Jan;Local accommodation;23300;24183;55022;12197;9907;4170;14167
2021 Jan;Tourism in rural and residential areas;5000;6816;99;6343;1723;458;3992
2020 Dec;Hotels;132465;94652;151906;33083;55386;19023;84458
2020 Dec;Local accommodation;24194;29402;59040;13712;11847;5009;18388
2020 Dec;Tourism in rural and residential areas;11103;14218;875;12358;2290;557;5199
2020 Nov;Hotels;121295;86266;133222;36376;65742;28490;75728
2020 Nov;Local accommodation;26308;30269;61264;14986;16617;5137;12756
2020 Nov;Tourism in rural and residential areas;8023;8973;640;12126;3138;1088;4684
2020 Oct;Hotels;290285;214223;261628;73740;322412;53052;172697
2020 Oct;Local accommodation;61622;60128;94188;27210;48637;10090;19703
2020 Oct;Tourism in rural and residential areas;31790;24255;2098;34153;11810;2269;7344
2020 Sep;Hotels;384153;307375;325024;101414;606494;59223;177365
2020 Sep;Local accommodation;86792;77327;127238;37686;98321;14698;20119
2020 Sep;Tourism in rural and residential areas;63530;39634;3243;58087;19155;4659;7616
2020 Aug;Hotels;540639;498589;396034;150753;809135;71779;162134
2020 Aug;Local accommodation;125519;127070;148815;58611;159421;19593;23913
2020 Aug;Tourism in rural and residential areas;129789;78127;6174;98200;33044;8404;9786
2020 Jul;Hotels;299090;246636;192457;95777;413151;29887;61357
2020 Jul;Local accommodation;70768;69202;82878;40401;74226;;
2020 Jul;Tourism in rural and residential areas;72519;45911;3843;67968;20083;;
2020 Jun;Hotels;131166;104613;81846;55437;113307;5681;4626
2020 Jun;Local accommodation;32882;36192;;24457;29961;;
2020 Jun;Tourism in rural and residential areas;31362;22106;;42990;8919;;
2020 May;Hotels;52086;22496;36219;13984;;;
2020 May;Local accommodation;12733;13537;;8742;6343;;
2020 May;Tourism in rural and residential areas;4055;3702;;9364;1253;;
2020 Apr;Hotels;22212;10016;20735;6360;;;
2020 Apr;Local accommodation;6365;7489;15427;4644;2206;;
2020 Apr;Tourism in rural and residential areas;636;1394;157;2202;436;;
2020 Mar;Hotels;203511;109600;355654;40588;192029;48463;180915
2020 Mar;Local accommodation;46787;29175;114008;13572;23993;5778;22701
2020 Mar;Tourism in rural and residential areas;7917;8996;918;9159;4174;722;5613
2020 Feb;Hotels;482675;305754;812365;91431;336359;87772;329177
2020 Feb;Local accommodation;98925;60404;211172;25142;36552;10665;38818
2020 Feb;Tourism in rural and residential areas;24117;24036;1824;21053;5159;1398;8770
2020 Jan;Hotels;452380;242850;800069;71565;207768;67740;291294
2020 Jan;Local accommodation;89912;50306;203684;19486;22944;10331;36020
2020 Jan;Tourism in rural and residential areas;17570;18791;1275;13187;2132;1136;5314
2019 Dec;Hotels;483419;290253;840756;76055;230698;69245;272744
2019 Dec;Local accommodation;129545;65061;238594;22572;35783;9484;38908
2019 Dec;Tourism in rural and residential areas;23356;25605;592;19335;3841;2003;6105
2019 Nov;Hotels;530564;332118;967241;93562;336435;88163;321904
2019 Nov;Local accommodation;131894;71543;269700;29878;41771;13196;35109
2019 Nov;Tourism in rural and residential areas;24628;22555;1397;23719;4177;1835;7654
2019 Oct;Hotels;720914;474341;1220162;121399;802892;145860;393244
2019 Oct;Local accommodation;194327;105393;365794;39468;124389;20519;45861
2019 Oct;Tourism in rural and residential areas;43600;29761;3023;37284;15538;6663;13258
2019 Sep;Hotels;800910;555185;1261333;143228;1054719;189973;460772
2019 Sep;Local accommodation;229278;131237;409620;52946;205030;34678;48486
2019 Sep;Tourism in rural and residential areas;69202;40853;4792;60049;26570;11508;15130
2019 Aug;Hotels;929541;717343;1398219;189699;1320737;236926;519791
2019 Aug;Local accommodation;286991;198316;461980;73914;289535;49830;62207
2019 Aug;Tourism in rural and residential areas;131840;79258;6983;101308;41040;20364;20389
2019 Jul;Hotels;789872;520274;1275999;138797;1143873;215339;474645
2019 Jul;Local accommodation;242259;152796;421979;58243;239195;47931;54378
2019 Jul;Tourism in rural and residential areas;85910;49820;4814;70311;28930;18773;17323
2019 Jun;Hotels;721459;482981;1203119;135464;976129;186563;458005
2019 Jun;Local accommodation;216244;113635;399706;44748;184473;32902;49307
2019 Jun;Tourism in rural and residential areas;63312;38079;3730;56793;22557;13140;15573
2019 May;Hotels;715133;468472;1253425;128945;833494;168896;417508
2019 May;Local accommodation;206257;105534;382306;40009;135629;25136;49264
2019 May;Tourism in rural and residential areas;48181;29255;3591;41611;15565;8582;16044
2019 Apr;Hotels;647839;421261;1155784;122334;733805;149261;369428
2019 Apr;Local accommodation;188652;95887;342961;36847;107276;21518;50464
2019 Apr;Tourism in rural and residential areas;44740;33143;2641;39437;14350;6321;16857
2019 Mar;Hotels;530624;322305;1046270;91801;439768;112379;371854
2019 Mar;Local accommodation;138220;70681;282966;28169;64967;12475;46936
2019 Mar;Tourism in rural and residential areas;25149;23576;1665;23499;6066;2543;12764
2019 Feb;Hotels;387822;230651;763878;68920;269443;74244;298811
2019 Feb;Local accommodation;106323;55870;216178;18712;41655;9889;39915
2019 Feb;Tourism in rural and residential areas;15545;18281;945;13359;2919;1964;9446
2019 Jan;Hotels;367357;209780;733308;63856;188429;65014;289831
2019 Jan;Local accommodation;106930;54132;196321;18403;35726;8865;38906
2019 Jan;Tourism in rural and residential areas;14333;15747;382;11049;1698;1631;7616
2018 Dec;Hotels;444442;278667;790238;77394;198748;54743;264936
2018 Dec;Local accommodation;103482;59716;189583;19055;31487;7264;40192
2018 Dec;Tourism in rural and residential areas;23425;23829;656;16411;3019;1573;8841
2018 Nov;Hotels;486761;301040;915244;85826;294687;81352;328598
2018 Nov;Local accommodation;115850;62241;223117;22590;38865;9465;37992
2018 Nov;Tourism in rural and residential areas;18798;18238;631;16854;3765;2120;10120
2018 Oct;Hotels;683164;464161;1211878;119022;784895;138130;411962
2018 Oct;Local accommodation;165848;95846;317840;32152;135482;18686;49922
2018 Oct;Tourism in rural and residential areas;43771;31355;2301;35022;15681;6132;13055
2018 Sep;Hotels;754918;551694;1238985;140411;991501;184810;473401
2018 Sep;Local accommodation;181746;116673;351004;41030;192632;31179;54712
2018 Sep;Tourism in rural and residential areas;66488;40510;3275;52618;23272;11836;14242
2018 Aug;Hotels;892209;695896;1398700;177827;1257780;227036;533394
2018 Aug;Local accommodation;226413;168724;388401;58981;275429;42723;65299
2018 Aug;Tourism in rural and residential areas;120857;78009;4965;90902;34200;19171;17568
2018 Jul;Hotels;715635;518648;1276125;136832;1132700;207541;476551
2018 Jul;Local accommodation;185506;132517;367220;44591;234517;41800;55787
2018 Jul;Tourism in rural and residential areas;80239;48339;4008;65381;27646;17851;15626
2018 Jun;Hotels;663493;444610;1168106;122407;948895;168593;467116
2018 Jun;Local accommodation;165960;89609;318634;36447;176617;28421;47852
2018 Jun;Tourism in rural and residential areas;51610;32064;2567;43786;18737;10287;14130
2018 May;Hotels;673046;438168;1206599;124343;822644;158183;437018
2018 May;Local accommodation;156675;88464;309693;33201;128319;22616;52471
2018 May;Tourism in rural and residential areas;47858;29347;2707;37458;15690;7516;15852
2018 Apr;Hotels;594487;388577;1115725;101227;631082;132905;384790
2018 Apr;Local accommodation;130800;74803;271170;25958;96087;18922;51348
2018 Apr;Tourism in rural and residential areas;33316;27017;2181;29579;11653;5263;13687
2018 Mar;Hotels;512924;330725;1044086;90688;466071;107482;365846
2018 Mar;Local accommodation;115995;64047;240679;22823;61978;13652;45985
2018 Mar;Tourism in rural and residential areas;23687;23324;1661;21480;5874;2199;12059
2018 Feb;Hotels;386873;241059;780637;69298;261158;72891;306327
2018 Feb;Local accommodation;84634;51407;180769;16766;40043;8161;38407
2018 Feb;Tourism in rural and residential areas;17061;21579;656;14737;2437;987;9929
2018 Jan;Hotels;340925;198069;727290;53813;168110;60002;295055
2018 Jan;Local accommodation;81495;45370;163227;14634;32754;7614;36325
2018 Jan;Tourism in rural and residential areas;12455;14867;428;10302;1344;1039;7753
2017 Dec;Hotels;434921;261197;773598;78523;174558;59844;262640
2017 Dec;Local accommodation;94407;60126;173595;16545;33690;;34637
2017 Dec;Tourism in rural and residential areas;24175;24053;1026;18724;2562;1181;8161
2017 Nov;Hotels;420631;271468;900105;75931;272825;72736;335318
2017 Nov;Local accommodation;97389;61467;201991;17964;38900;;37307
2017 Nov;Tourism in rural and residential areas;16653;15667;982;15251;3289;1599;10231
2017 Oct;Hotels;629816;481942;1207180;113904;780513;134485;423145
2017 Oct;Local accommodation;138045;102466;283423;26067;122124;;46223
2017 Oct;Tourism in rural and residential areas;39338;30475;2922;34320;14244;4673;12947
2017 Sep;Hotels;710574;584725;1233363;137258;1012082;184805;485917
2017 Sep;Local accommodation;162476;125913;305296;35438;177134;;54415
2017 Sep;Tourism in rural and residential areas;63692;40315;3788;51038;20842;10442;14446
2017 Aug;Hotels;834022;697722;1401204;176733;1268616;227507;547927
2017 Aug;Local accommodation;198622;175166;334435;53623;211442;;64541
2017 Aug;Tourism in rural and residential areas;115566;73802;5838;84233;33115;16980;16834
2017 Jul;Hotels;685777;537428;1278340;130432;1146985;213890;511869
2017 Jul;Local accommodation;163878;133487;307344;42349;196040;;56563
2017 Jul;Tourism in rural and residential areas;80018;47407;3962;60514;27410;14883;12877
2017 Jun;Hotels;631269;471149;1178699;115005;966272;181389;475934
2017 Jun;Local accommodation;145822;97477;276224;32369;158927;;53105
2017 Jun;Tourism in rural and residential areas;50259;31622;2950;44097;19304;9296;10925
2017 May;Hotels;618312;441480;1179022;102337;814151;161972;438378
2017 May;Local accommodation;125886;87369;248704;26257;116564;;60659
2017 May;Tourism in rural and residential areas;39031;27170;2402;33424;14124;6093;11568
2017 Apr;Hotels;605423;423420;1152194;111122;709278;138336;401413
2017 Apr;Local accommodation;125596;81805;240980;25726;86464;;58852
2017 Apr;Tourism in rural and residential areas;42584;32478;2410;39628;12929;6095;12024
2017 Mar;Hotels;433676;275249;956501;69539;412893;100311;371310
2017 Mar;Local accommodation;88291;52996;189791;15808;39260;;54290
2017 Mar;Tourism in rural and residential areas;16624;18194;960;16436;4800;1602;9474
2017 Feb;Hotels;349687;219285;718946;59725;258195;67044;304042
2017 Feb;Local accommodation;75631;45611;145636;12528;23465;;43534
2017 Feb;Tourism in rural and residential areas;14380;18868;516;14574;2390;1038;6956
2017 Jan;Hotels;314840;179215;698442;48781;165565;55034;279758
2017 Jan;Local accommodation;68118;40442;133398;9654;19678;;39733
2017 Jan;Tourism in rural and residential areas;11156;13900;477;9393;1252;1010;5102